
DisplayName                                                                                  DisplayVersion      Publis
Microsoft Windows Desktop Runtime - 3.1.32 (x64)                                             24.192.31915        Mic...
Microsoft Windows Desktop Runtime - 3.1.32 (x86)                                             24.192.31915        Mic...
Microsoft Windows Desktop Runtime - 5.0.17 (x64)                                             40.68.31219         Mic...
Microsoft Windows Desktop Runtime - 5.0.17 (x86)                                             40.68.31219         Mic...
Microsoft Windows Desktop Runtime - 6.0.36 (x64)                                             48.144.23186        Mic...
Microsoft Windows Desktop Runtime - 6.0.36 (x86)                                             48.144.23186        Mic...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             56.48.2562          Mic...
Microsoft Windows Desktop Runtime - 7.0.12 (x86)                                             7.0.12.32928        Mic...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             7.0.20.33720        Mic...
Microsoft Windows Desktop Runtime - 7.0.20 (x64)                                             56.80.15245         Mic...
Microsoft Windows Desktop Runtime - 8.0.28 (x64)                                             64.112.53617        Mic...
Microsoft Windows Desktop Runtime - 8.0.28 (x86)                                             64.112.53617        Mic...
Microsoft Windows Desktop Runtime - 9.0.17 (x64)                                             72.68.53601         Mic...
Microsoft Windows Desktop Runtime - 9.0.17 (x86)                                             72.68.53601         Mic...
Microsoft Windows Desktop Runtime 10.0.9 (x64)                                               10.0.9.50000        Mic...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x64)                                      80.36.53633         Mic...
Microsoft Windows Desktop Targeting Pack - 10.0.9 (x86)                                      80.36.53633         Mic...
Microsoft Windows Desktop Targeting Pack - 3.1.0 (x64)                                       24.64.28315         Mic...
Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)                                       40.0.29420          Mic...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x64)                                      48.144.23186        Mic...
Microsoft Windows Desktop Targeting Pack - 6.0.36 (x86)                                      48.144.23186        Mic...
Microsoft Windows Desktop Targeting Pack - 7.0.20 (x64)                                      56.80.15245         Mic...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x64)                                      64.112.53617        Mic...
Microsoft Windows Desktop Targeting Pack - 8.0.28 (x86)                                      64.112.53617        Mic...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x64)                                      72.68.53601         Mic...
Microsoft Windows Desktop Targeting Pack - 9.0.17 (x86)                                      72.68.53601         Mic...
Microsoft Workflow Debugger v1.0 for amd64                                                   18.0.11811          Mic...
Microsoft Workflow Debugger v1.0 for amd64                                                   17.0.36015          Mic...
Microsoft Workflow Debugger v1.0 for x86                                                     17.0.36015          Mic...
Microsoft Workflow Debugger v1.0 for x86                                                     18.0.11811          Mic...
Microsoft Workflow Diagnostic Pack for x64                                                   18.7.11811          Mic...
Microsoft Workflow Diagnostic Pack for x64                                                   17.14.36015         Mic...
Microsoft.Android.Ref.35 (x64)                                                               35.0.78.0           Mic...
Microsoft.Android.Ref.35 (x64)                                                               35.0.101.0          Mic...
Microsoft.Android.Ref.36 (x64)                                                               36.1.43.0           Mic...
Microsoft.Android.Runtime.35.android-arm (x64)                                               35.0.101.0          Mic...
Microsoft.Android.Runtime.35.android-arm (x64)                                               35.0.78.0           Mic...
Microsoft.Android.Runtime.35.android-arm64 (x64)                                             35.0.78.0           Mic...
Microsoft.Android.Runtime.35.android-arm64 (x64)                                             35.0.101.0          Mic...
Microsoft.Android.Runtime.35.android-x64 (x64)                                               35.0.101.0          Mic...
Microsoft.Android.Runtime.35.android-x64 (x64)                                               35.0.78.0           Mic...
Microsoft.Android.Runtime.35.android-x86 (x64)                                               35.0.78.0           Mic...
Microsoft.Android.Runtime.35.android-x86 (x64)                                               35.0.101.0          Mic...
Microsoft.Android.Runtime.36.android (x64)                                                   36.1.43.0           Mic...
Microsoft.Android.Runtime.CoreCLR.36.android-arm64 (x64)                                     36.1.43.0           Mic...
Microsoft.Android.Runtime.CoreCLR.36.android-x64 (x64)                                       36.1.43.0           Mic...
Microsoft.Android.Runtime.Mono.36.android-arm (x64)                                          36.1.43.0           Mic...
Microsoft.Android.Runtime.Mono.36.android-arm64 (x64)                                        36.1.43.0           Mic...
Microsoft.Android.Runtime.Mono.36.android-x64 (x64)                                          36.1.43.0           Mic...
Microsoft.Android.Runtime.Mono.36.android-x86 (x64)                                          36.1.43.0           Mic...
Microsoft.Android.Runtime.NativeAOT.36.android-arm64 (x64)                                   36.1.43.0           Mic...
Microsoft.Android.Runtime.NativeAOT.36.android-x64 (x64)                                     36.1.43.0           Mic...
Microsoft.Android.Sdk.Windows (x64)                                                          36.1.43.0           Mic...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.101.0          Mic...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.78.0           Mic...
Microsoft.Android.Sdk.Windows (x64)                                                          35.0.105.0          Mic...
